French
Saint Jacques
Cheese
Mussels
Pancakes
Onion soup
Bread
Croque Monsieur
Pot au feu
Foie gras
Mille - feuille
Macaron
Snails
Cassoulet
Coq au vin
Pan bagnat
Chocolate mousse
Tartiflette
Choucroute
Ratatouille
Sauteed frogs ' legs
Roasted chicken
Bouillabaisse
