Singaporean
Bak Kut Teh
Wanton Mee
Fried carrot cake
Kaya toasts
Crabs
Crab
Chili Crab
Pepper Crab
Laksa
Curry fish head
Bak chor mee
Orh Lua
Hokkien prawn mee
Satay
BBQ sambal sting ray
Tau Huay
Ice Kacang
Chwee kway
Nasi lemak
Mee Siam
Mee rebus
Roti prata
Rojak
Chicken rice
Char kway teow
Curry puff
Popiah
hor fun
Char kuay teow
